,Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income,Sewage Company,Travel To Work Area,ITL level 2,ITL level 3,cluster_label
49,RG6 4DR,Yes,51.421926,-0.931529,474390,169754,SU743697,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1985-10-01,,Earley,,26.0,8.0,Reading,Reading,Wokingham 011E,Urban city and town,South East,52,,E01016649,,E02003449,Lower Earley South,E04001230,E00084019,E14001048,31414,1,0,2021-11-12,Earley,2.32796,RG,RG6,Thames Valley,Thames Water,9C3XC3C9+Q9,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,1
50,RG6 4DS,Yes,51.422037,-0.932921,474293,169765,SU742697,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1985-10-01,,Earley,,134.0,48.0,Reading,Reading,Wokingham 011E,Urban city and town,South East,56,,E01016649,,E02003449,Lower Earley South,E04001230,E00084019,E14001048,31414,1,0,2021-11-12,Earley,2.35737,RG,RG6,Thames Valley,Thames Water,9C3XC3C8+RR,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,1
51,RG6 4DU,Yes,51.42329,-0.929325,474541,169908,SU745699,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1984-02-01,,Earley,,29.0,18.0,Reading,Reading,Wokingham 011E,Urban city and town,South East,51,,E01016649,,E02003449,Lower Earley South,E04001230,E00084041,E14001048,31414,1,0,2021-11-12,Earley,2.12916,RG,RG6,Thames Valley,Thames Water,9C3XC3FC+87,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,1
52,RG6 4DX,Yes,51.422633,-0.929254,474547,169835,SU745698,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1984-02-01,,Earley,,88.0,27.0,Reading,Reading,Wokingham 011E,Urban city and town,South East,50,,E01016649,,E02003449,Lower Earley South,E04001230,E00084019,E14001048,31414,1,0,2021-11-12,Earley,2.19543,RG,RG6,Thames Valley,Thames Water,9C3XC3FC+37,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,1
53,RG6 4DY,Yes,51.423641,-0.930281,474474,169946,SU744699,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1987-04-01,,Earley,,96.0,49.0,Reading,Reading,Wokingham 011E,Urban city and town,South East,55,,E01016649,,E02003449,Lower Earley South,E04001230,E00084040,E14001048,31414,1,0,2021-11-12,Earley,2.1187,RG,RG6,Thames Valley,Thames Water,9C3XC3F9+FV,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,1
54,RG6 4DZ,Yes,51.422876,-0.931219,474410,169860,SU744698,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1985-04-01,,Earley,,113.0,60.0,Reading,Reading,Wokingham 011E,Urban city and town,South East,55,,E01016649,,E02003449,Lower Earley South,E04001230,E00084040,E14001048,31414,1,0,2021-11-12,Earley,2.2228,RG,RG6,Thames Valley,Thames Water,9C3XC3F9+5G,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,1
55,RG6 4EA,Yes,51.425522,-0.92165,475071,170164,SU750701,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1992-08-01,,Earley,,37.0,29.0,Reading,Reading,Wokingham 011D,Urban city and town,South East,43,,E01016648,,E02003449,Lower Earley South,E04001230,E00084016,E14001048,30044,1,0,2021-11-12,Earley,1.74949,RG,RG6,Thames Valley,Thames Water,9C3XC3GH+68,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
56,RG6 4ED,Yes,51.422232,-0.920778,475137,169799,SU751697,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1987-10-01,,Earley,,16.0,8.0,Reading,Reading,Wokingham 011C,Urban city and town,South East,41,,E01016646,,E02003449,Lower Earley South,E04001230,E00084014,E14001048,30028,1,0,2021-11-12,Earley,2.10547,RG,RG6,Thames Valley,Thames Water,9C3XC3CH+VM,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
57,RG6 4EE,Yes,51.427615,-0.918374,475295,170400,SU752704,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1985-04-01,,Earley,,45.0,30.0,Reading,Reading,Wokingham 011B,Urban city and town,South East,45,,E01016645,,E02003449,Lower Earley South,E04001230,E00084022,E14001048,30083,1,0,2021-11-12,Earley,1.49866,RG,RG6,Thames Valley,Thames Water,9C3XC3HJ+2M,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
58,RG6 4EF,Yes,51.427792,-0.916245,475443,170422,SU754704,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1985-04-01,,Earley,,123.0,71.0,Reading,Reading,Wokingham 011B,Urban city and town,South East,44,,E01016645,,E02003449,Lower Earley South,E04001230,E00084013,E14001048,30083,1,0,2021-11-12,Earley,1.48368,RG,RG6,Thames Valley,Thames Water,9C3XC3HM+4G,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
